file_size_kb,entropy,exif_timestamp_delta_hrs,keyword_threat_density,header_valid,threat_class
240,7.82,0.1,0.02,1,0
1250,7.95,48.5,0.85,1,2
45,4.12,0.0,0.92,1,2
5120,7.88,120.0,0.45,0,1
88,3.21,0.0,0.00,1,0
1024,6.45,0.2,0.10,1,0
340,7.91,72.0,0.78,1,2
15,2.10,0.0,0.95,1,2
3100,7.85,0.5,0.05,1,0
95,7.99,240.0,0.60,0,1
550,7.75,0.0,0.00,1,0
120,5.40,0.0,0.88,1,2
4100,7.89,96.0,0.91,1,2
78,4.50,0.0,0.00,1,0
2300,7.92,12.0,0.70,1,2
310,7.80,0.0,0.00,1,0
670,7.94,168.0,0.30,0,1
1500,7.86,0.1,0.00,1,0
890,7.88,3.5,0.82,1,2
42,3.80,0.0,0.00,1,0
1800,7.91,336.0,0.65,0,1
920,7.83,0.0,0.12,1,0
110,6.10,0.0,0.90,1,2
3400,7.87,0.2,0.00,1,0
145,7.96,500.0,0.40,0,1
